ratings;displayName;brand.displayName
{'average': 4.2, 'total': 0};Bakpia Juwara Satoe, Kotabaru;Bakpia Juwara Satoe
{'average': 4.6, 'total': 0};Soto Sorgapuro, Sardonoharjo;Soto Sorgapuro, Sardonoharjo
{'average': 4.6, 'total': 0};Lotek Bu Min 2 Cabang Kentungan;Lotek Bu Min 2 Cabang Kentungan, Ahmad Syafii
{'average': 4.5, 'total': 0};Nasi Goreng TBK, Colombo;Nasi Goreng TBK
{'average': 4.8, 'total': 0};Ayam Keprabon Express, Sagan;Ayam Keprabon Express PB1
{'average': 4.6, 'total': 0};Sate Ayam Madura Cak Mail;Sate Ayam Madura Cak Mail, ISMAIL
{'average': 4.6, 'total': 0};Seblak Bloom, Jalan Kaliurang;Seblak Bloom UNY
{'average': 4.7, 'total': 0};PREKSU (Ayam Geprek & Susu), Samirono;Preksu (Ayam Geprek dan Susu)
{'average': 4.7, 'total': 0};Bubur Hayam Kotabaru, Gondokusuman;Bubur Hayam Kotabaru
{'average': 4.8, 'total': 0};Olive Fried Chicken Take Away, Selokan Mataram;Olive Fried Chicken
{'average': 4.7, 'total': 0};Deliwings Express, Depok;Deliwings Express
{'average': 4.4, 'total': 0};JCO, Galeria Mall Yogyakarta;JCO General
{'average': 4.8, 'total': 0};Esteh Indonesia, Tegalrejo Yogyakarta;Es Teh Indonesia General
{'average': 4.4, 'total': 0};Ayam Goreng Hj Toyib, Galeria;Ayam Goreng Hj Toyib
{'average': 4.7, 'total': 0};Cheesecake Expert, Gejayan;Cheesecake Expert
{'average': 4.7, 'total': 0};KFC, Galleria Yogyakarta;KFC
{'average': 4.6, 'total': 0};Pizza Hut Delivery - PHD, Colombo Yogyakarta;Pizza Hut Delivery - PHD
{'average': 4.7, 'total': 0};Nasi Uduk Jakarta MAHAESWARI;Nasi Uduk Jakarta MAHAESWARI, Sismilia
{'average': 4.7, 'total': 0};Spesial Ayam Rempah Mas Tanto, Wirobrajan;Spesial Ayam Rempah Mas Tanto Pugeran
{'average': 4.7, 'total': 0};Starbucks, Galeria Mall Jogja;Starbucks
{'average': 4.5, 'total': 0};Roti Bakar dan Kukus Pandawa 5, Tantular;Roti Bakar dan Kukus Pandawa 5, Tantular, Mazidah Amalina
{'average': 4.8, 'total': 0};Mixue Condongcatur, Depok/ Condongcatur/ Dero;Mixue Condongcatur, Depok/ Condongcatur/ Dero, Mutiara Nur Aisyah
{'average': 4.5, 'total': 0};Bakso Soto Mie Ayam Pak Man 2 Mrican, Depok;Bakso Soto Mie Ayam Pak Man
{'average': 4.6, 'total': 0};Burjo Motekar 17, Candirejo;Burjo Motekar
{'average': 4.5, 'total': 0};SATE AYAM MADURA MBK VIA, Wedomartani, Ngemplak Sleman Yogyakarta;Sate Ayam Madura Mba Via, MUYAQI
{'average': 4.7, 'total': 0};Lesehan Siantan,Pindahan Seturan, Depok;Lesehan Siantan - Riced
{'average': 4.1, 'total': 0};Lumpia Samijaya Malioboro, Pringgokusuman;Lumpia Samijaya Malioboro, Pringgokusuman, Desifa Indah Permata Sari
{'average': 4.7, 'total': 0};Truffle Belly, Suroto Yogyakarta;Truffle Belly
{'average': 4.6, 'total': 0};Ayam Aroma Mamalita, Depok;Ayam Aroma Mamalita
{'average': 4.6, 'total': 0};Yammie Pathuk, Kemetiran Kidul;Yammie Pathuk
{'average': 4.8, 'total': 0};RM Makmur Chinese Food, Sosromenduran;RM Makmur Chinese Food, Sosromenduran
{'average': 4.8, 'total': 0};Mixue , Uripsumoharjo Yogyakarta;Mixue Maranatha Surya Sumantri
{'average': 4.6, 'total': 0};Seblak Bloom, Gamping;Susudedek_Sudek
{'average': 4.6, 'total': 0};Warung Pecel Lele Rika, Krasak;Warung Pecel Lele Rika
{'average': 4.6, 'total': 0};Burgerax, Selokan Mataram;Burgerax, Prawirotaman
{'average': 4.7, 'total': 0};Yamie Panda, Cokroaminoto;Yamie Panda Migrate
{'average': 4.8, 'total': 0};Dimsum Sembilan Naga, Kotabaru Yogyakarta;SALD Riau
{'average': 4.7, 'total': 0};Rumah Makan Manalagi Chinese Food;Rumah Makan Manalagi Chinese Food
{'average': 4.6, 'total': 0};Warteg Kafe Selera Bahari, Jalan Selokan Mataram No 450;Warteg Kafe Selera Bahari, Jalan Selokan Mataram No 450, Irvan Yudhatama Kolompoy Mewengkang
{'average': 4.5, 'total': 0};dBaker Jogja Cake & Bakery House, Yogyakarta;dBaker Jogja Cake & Bakery House Keparakan Kidul, Noor Komariah
{'average': 4.8, 'total': 0};Loving Hut Express, Moses Gatotkaca;Loving Hut Express Yogyakarta
{'average': 4.7, 'total': 0};Mie Ayam Bandung 59, Mozes;Mie Bandung 59
{'average': 4.5, 'total': 0};Ayam Geprek Prek, Nologaten;Ayam Geprek Ambyar #2, Aldi Bagus Darmawan
{'average': 4.9, 'total': 0};Warung Makan Mr. B;Sayap Tempe Mr. B, Muryanti
{'average': 4.7, 'total': 0};Ayam Geprek Bu Rum, Perumnas;Ayam Geprek Bu Rum
{'average': 4.6, 'total': 0};Lotek Gado Gado Penyetan Mbok Las, Pringgondani;Ayam Mbok Rawit, Siwi Tri Priyanto
{'average': 4.8, 'total': 0};Pizza - Nanamia Pizzeria, Moses Gatotkaca;Nanamia Pizzeria
{'average': 4.7, 'total': 0};Dapur Melati (Rica-Rica Ayam & Nasi Goreng), Perumnas Condongcatur;Dapur Melati
{'average': 4.8, 'total': 0};B2 Si Lae;B2 Si Lae, Heni Riani
{'average': 4.7, 'total': 0};Gyudel Nasi Goreng, Depok;Rice Bowl Gyudon Katsu&Nasi Goreng Gudel, C. Nenita Pangkrastuti, S.Pd.
{'average': 4.8, 'total': 0};LESEHAN CINTA SPESIAL SAMBAL;LESEHAN CINTA SPESIAL SAMBAL, NIYATI
{'average': 4.8, 'total': 0};Sun Rice Bowl (Nasi Ayam, Mie Goreng), Depok;Rice Bowl Mamita, Minomartani
{'average': 4.7, 'total': 0};AB Oriental Streetfood, Condongcatur;AB Oriental Streetfood, Condongcatur, Bima Brian Arga
{'average': 4.7, 'total': 0};Crepes time, Mozes;Crepes time, Mozes, Dra. Erry Fulfiana
{'average': 4.6, 'total': 0};KFC, Malioboro Yogyakarta;KFC
{'average': 4.7, 'total': 0};Jank Jank Wings, Condongcatur;Jank Jank Wings
{'average': 4.8, 'total': 0};Nasi Pecel Jamur Mbak Rus, Tanjung;Nasi Pecel Jamur Mbak Rus
{'average': 4.7, 'total': 0};Sushi Tei, Komplek Colombo;Sushi Tei Komplek Colombo
{'average': 4.6, 'total': 0};Ayam Geprek Bu Rini 6, Candi Gebang;Ayam Geprek Bu Rini, Banguntapan
{'average': 4.6, 'total': 0};Mie Ayam & Bakso Sera, Candi Gebang;Warung Mie Ayam & Bakso Sera
{'average': 4.6, 'total': 0};Mixue Candi Gebang, Ngemplak, Wedomartani;Mixue Candi Gebang, Ngemplak, Wedomartani, Nadia Cesa Dhesila Ariningrum
{'average': 4.6, 'total': 0};King Kerang Seafood, Hos Cokroaminoto;King Kerang Seafood, Hos Cokroaminoto
{'average': 4.8, 'total': 0};Nasi Uduk Paru Pakdi, Ngaglik;Es Podeng 27
{'average': 4.7, 'total': 0};Rumah Makan Padang Bungopalo;Rumah Makan Padang BungoPalo
{'average': 4.6, 'total': 0};Lotek & Gado-Gado Uswatun 2, Kaliurang;Lotek & Gado-Gado Uswatun, Jl Asem Gede
{'average': 4.6, 'total': 0};Tahu Tek Telur 45 Surabaya, Jl Wahid Hasyim No.122;Tahu Tek Telur 45 Surabaya, Jl Wahid Hasyim No.122, Lina Marliana
{'average': 4.4, 'total': 0};Bubur Ayam Bandung Az-Zahra, Ngropoh;Bubur Ayam Bandung Az-Zahra, Ngropoh
{'average': 4.7, 'total': 0};Yamie Panda, Kridosono;Yamie Panda Migrate
{'average': 4.6, 'total': 0};Nasi Goreng Seafood Aja, Perumnas Condongcatur;Nasi Kebuli Aster, Heru Prihantoro
{'average': 4.7, 'total': 0};Olive Fried Chicken, Candi Gebang;Olive Fried Chicken
{'average': 4.7, 'total': 0};Chatime x Cupbop, Ace Hos Tjokro Yogya;Chatime
{'average': 4.7, 'total': 0};Warung Hotplate Mamilis, Ngropoh, condong catur, Depok;Waroeng Tunggal Rasa, Depok,condongcatur, Lilis Widyastuti
{'average': 4.7, 'total': 0};Nasi Kapau Uda Jack;Nasi Kapau Uda Jack, Ridwan
{'average': 4.7, 'total': 0};Master Juice Jakal 13. (Jus, Sop Buah dan Salad Buah);Master Juice, Sop Buah dan Salad Buah
{'average': 4.7, 'total': 0};Mie Gacoan, Yogyakarta Kotabaru;Mie Gacoan
{'average': 4.3, 'total': 0};Sate Ayam Wonokromo, Condongcatur;Sate Ayam Wonokromo
{'average': 4.8, 'total': 0};Choppers Factory, Sepakbola;Choppers Factory, Haryadhika Putuwijaya
{'average': 4.7, 'total': 0};Siomay & Batagor Kang Gii Asli Bandung;Siomay & Batagor Kang Gii Asli Bandung
{'average': 4.7, 'total': 0};Burger King, Malioboro Yogyakarta;Burger King
{'average': 4.6, 'total': 0};McDonald's, Malioboro Jogja;McDonald's
{'average': 4.6, 'total': 0};Bakso Juragan, Umbulmartani;1719
{'average': 4.7, 'total': 0};Ichiban Sushi, Plaza Malioboro;Ichiban Sushi
{'average': 4.6, 'total': 0};Lotek & Gado - Gado Bu Bagyo, Candi Gebang;Lotek & Gado - Gado Bu Bagyo
{'average': 4.7, 'total': 0};Duta Minang Family, Affandi;Duta Minang YK
{'average': 4.5, 'total': 0};Nasi Kuning Lincak;Nasi Kuning Lincak, Deyanti
{'average': 4.7, 'total': 0};Waroeng Steak and Shake, Demangan;Waroeng Steak and Shake
{'average': 4.7, 'total': 0};Solaria, Plaza Malioboro;Solaria
{'average': 4.7, 'total': 0};Ta Wan, Malioboro;Ta Wan
{'average': 4.7, 'total': 0};HokBen, Plaza Malioboro;HokBen
{'average': 4.7, 'total': 0};Nasi Balap Puyung Lincak Cafe, Selokan Mataram;Nasi Balap Puyung Lincak Cafe
{'average': 4.5, 'total': 0};Menantea, Plaza Malioboro;Menantea
{'average': 4.7, 'total': 0};Sambal Pop;Sambal Saduk
{'average': 4.7, 'total': 0};Funkydak, Komplek Colombo;Funkydak, Komplek Colombo
{'average': 4.7, 'total': 0};Sate Taichan Hitz, Warung Tiktok;Telur Gulung SD Pasirgadung
{'average': 4.8, 'total': 0};RM. Gajah jaya;RM. Gajah jaya, Lie Wan Yek
{'average': 4.6, 'total': 0};Find Me, Kaliurang;Find Me
{'average': 4.4, 'total': 0};JCO, Plaza Malioboro;JCO General
{'average': 4.7, 'total': 0};"Pecel Lele Kremes & Bakar ""Majuroso 2"", Ngaglik";Pecel Lele Spesial Goreng Kremes & Bakar Maju Roso
{'average': 4.6, 'total': 0};KFC, Foodpoint Malioboro;KFC
{'average': 4.7, 'total': 0};ESQUE JAKAL 2;ESQUE
{'average': 4.7, 'total': 0};Rocket Chicken, Condong Catur;Rocket Chicken General
{'average': 4.7, 'total': 0};Sego Sambel Tongkol Mbak Arum, Jl Wahid Hasyim No.16 Rt 7/25;Sego Sambel Tongkol Mbak Arum, Jl Wahid Hasyim No.16 Rt 7/25, Fathurrohman
{'average': 4.7, 'total': 0};Lapar ya Express Rice Bowl, Jogja;Nasi Kuning Pontianak Dapur Ponti
{'average': 4.8, 'total': 0};Hou Ji Tea (Houji), Rajawali;Hou Ji Tea
{'average': 4.8, 'total': 0};NaSi Joni, UII Jakal;NaSi Joni, Fitri Apriliyani
{'average': 4.2, 'total': 0};Soto Ayam Dan Penyetan Songo, Wijayakusuma;Kedai Kopi Cethe, Yuli Kurnia Dewi
{'average': 4.7, 'total': 0};Mixue, Jogja;Mixue Maranatha Surya Sumantri
{'average': 4.7, 'total': 0};Esteh Indonesia, Depok;Es Teh Indonesia General
{'average': 4.8, 'total': 0};BAKSO DAN MIE AYAM RESTU WAHID HASYIM, Jl.Wahid Hasyim,Condongcatur;BAKSO DAN MIE AYAM RESTU WAHID HASYIM, Jl.Wahid Hasyim,Condongcatur, GIYARTO
{'average': 4.1, 'total': 0};Ayam Bakar Thole, Condongcatur;Kedai Minum Yudistira Yogyakarta, Anugrahing Yudistira
{'average': 4.5, 'total': 0};Bubur Ayam, Nasi Uduk/Kuning & Soto Ayam Yu ARRA, Jakal Km 13.5;BUBUR AYAM yu'arra, ETIK IVA ELYSSA
{'average': 4.8, 'total': 0};Fast Chicken Food Condongcatur;Fast Chicken Food Condongcatur, Ita Agus Liasari
{'average': 4.7, 'total': 0};Nasi Ayam Katsu Red Door, Jalan Gejayan No. 13 Klitren;Nasi Katsu Red Door, Jalan Gejayan No. 13 Klitren, Katita Sulistyowati
{'average': 4.5, 'total': 0};Bakpia Pathok 52, Sanggrahan Pathok;Bakpia Pathok 52 Premium
{'average': 4.8, 'total': 0};Warung Makan Basmallah;Warung Makan Basmallah, Riyana
{'average': 4.8, 'total': 0};Olive Fried Chicken, Jakal 13.5;Olive Fried Chicken
{'average': 4.7, 'total': 0};Mixue Gejayan, Gondokusuman, Klitren;Mixue Gejayan, Gondokusuman, Klitren, Vonny Linawaty
{'average': 4.6, 'total': 0};Esque, Condongcatur;ESQUE
{'average': 4.8, 'total': 0};Kopi Janji Jiwa, Colombo;Kopi Janji Jiwa
{'average': 4.7, 'total': 0};Find Me, Condongcatur;Find Me
{'average': 4.7, 'total': 0};Burger Bangor Express, Gejayan;Burger Bangor General
{'average': 4.7, 'total': 0};Gudeg Jogja Bu Mur 2, Condongcatur;Gudeg Jogja Bu Mur
{'average': 4.7, 'total': 0};Waroeng Steak and Shake, HOS Cokroaminoto;Waroeng Steak and Shake
{'average': 4.8, 'total': 0};Dou Cookies & Chocolate Daily;Chocholate Daily
{'average': 4.6, 'total': 0};RM Sabana Murah - Wahid Hasyim, Condongcatur;Nasi Padang Sabana Murah
{'average': 4.5, 'total': 0};Corndog Topokki Grobbak Korea, Nologaten;Corndog Topokki Grobbak Korea, Veteran Kediri, Akhmad Mukhamad Arifin
{'average': 4.8, 'total': 0};Ayam Geprek Joss, Ngaglik;Ayam Geprek Joss , DEVI ANDRIYANI
{'average': 4.8, 'total': 0};GG Salad Sayur;GG Salad Sayur, Suratinem
{'average': 4.6, 'total': 0};Warmindo Bianglala, Nusa Indah;Warmindo Bianglala, Nusa Indah
{'average': 4.8, 'total': 0};Sambel Colek, Nusa Indah;Sambel Colek
{'average': 4.7, 'total': 0};Chatime, Ace Jogja Urip;Chatime
{'average': 4.7, 'total': 0};Soto Dan Sop Hollywood, Nusa Indah;Soto Dan Sop Hollywood
{'average': 4.7, 'total': 0};Ayam Goreng & Bebek Goreng Tojoyo 3, Urip Sumoharjo;Ayam Goreng & Bebek Goreng Tojoyo 3
{'average': 4.8, 'total': 0};Olive Fried Chicken, Jl Wates;Olive Fried Chicken
{'average': 4.8, 'total': 0};Ayam Soedara, Ngaglik;Ayam Soedara
{'average': 4.7, 'total': 0};Rumah Makan Padang Rajo Minang, Wahid Hasyim;Rumah Makan Padang Rajo Minang
{'average': 4.7, 'total': 0};Bakso Tenis & Mie Ayam, Ringin Raya;Bakso Tenis & Mie Ayam
{'average': 4.7, 'total': 0};Bakso dan Mie Ayam PM, Letjen Suprapto;Bakso dan Mie Ayam PM
{'average': 4.8, 'total': 0};Hotway's Chicken, Perumnas;Hotways Chicken
{'average': 4.7, 'total': 0};Spesial Ayam GBK, Jl. Bumiro Talun, No. 0;Spesial Ayam GBK, Nazila Chiladati Rohmaniyati
{'average': 4.7, 'total': 0};RM PADANG SABANA 02, Besi Sukoharjo Ngaglik Sleman;RM PADANG SABANA , jakal Km 13,5, Besi Sukoharjo Ngaglik Sleman, Selfiandi
{'average': 4.8, 'total': 0};Lesehan Cak Nur, Kaliurang 1;Lesehan Cak Nur
{'average': 4.6, 'total': 0};Haus!, Yogya Malioboro;HAUS! GENERAL
{'average': 4.8, 'total': 0};Starbucks, Empire XXI Yogya;Starbucks
{'average': 4.6, 'total': 0};Cakenya Hudson, Karel Sasuir Tubun;Cakenya Hudson
{'average': 4.8, 'total': 0};Awor Coffee, Kaliurang;Awor Galeri and Coffee
{'average': 4.8, 'total': 0};Starbucks, Malioboro 41;Starbucks
{'average': 4.7, 'total': 0};Gudeg Song Djie Bu Atmo, Kuncen;Gudeg Song Djie Bu Atmo
{'average': 4.6, 'total': 0};Yamie Panda, Demangan;Yamie Panda Migrate
{'average': 4.8, 'total': 0};Olive Fried Chicken, Nologaten;Olive Fried Chicken
{'average': 4.7, 'total': 0};Sego Pecel Madiun & Nasi Rawon Bu Dewi, Ngampilan;Sego Pecel Madiun & Nasi Rawon Bu Dewi
{'average': 4.5, 'total': 0};Sop Ayam Pak Min Klaten ( Pak Mul );Sop Ayam Pak Min Klaten ( Pak Mul ), Tri Wibowo
{'average': 4.8, 'total': 0};Olive Fried Chicken, Demangan;Olive Fried Chicken
{'average': 4.5, 'total': 0};Geprek Sapa, Wirobrajan;Geprek Sapa Wirobrajan
{'average': 4.3, 'total': 0};Chicken Chuck, Besi Raya;Kulit Ayam Crispy 93
{'average': 4.7, 'total': 0};Ayam Geprek Bu Made, Wulung;Ayam Geprek Bu Made
{'average': 4.6, 'total': 0};Mie Sapi Perjuangan Amikom, Ringin Raya;Hara Chicken - Muhammad Arofik
{'average': 4.7, 'total': 0};Rice Bowl Huhah, Ngaglik;Rice Bowl Huhah, Ngaglik
{'average': 4.7, 'total': 0};Ayam Geprek Pak Topan, Tambakboyo;Ayam Geprek Pak Topan
{'average': 4.5, 'total': 0};Takoyaki Crispy Onokui, Demangan Baru;Takoyaki Crispy Onokui
{'average': 4.7, 'total': 0};Warmindo Elephant, UII;Warmindo Elephant
{'average': 4.7, 'total': 0};Mixue Uii, Ngaglik;Mixue Uii, Ngaglik, Dhany Setiawan Sugiono
{'average': 4.7, 'total': 0};Mixue Kadipiro, Kalibayem;Mixue Kadipiro, Kalibayem, Herman Susanto
{'average': 4.8, 'total': 0};NGANA Mami Celebes Khas Sulawesi Manado Gorontalo, Dabag;I CORN, Donalis Ake
{'average': 4.7, 'total': 0};Ayam Gepuk Pak Gembus, Gamping;Ayam Gepuk Pak Gembus, Gamping - H Muhammad Nasrulloh
{'average': 4.7, 'total': 0};Yamie Panda, Jakal Atas;Yamie Panda Migrate
{'average': 4.6, 'total': 0};Padang Murah;Padang Murah, Cahyo Damar
{'average': 4.2, 'total': 0};NAM HIEN MALIOBORO, Bakpia-Makanan Kecil-Snack-Jajanan-Kue Biskuit-Gudeg Kaleng;Bakpia dan Oleh-oleh (NAM HIEN), Jl. Malioboro, Sintawati
{'average': 4.9, 'total': 0};Eatlah Da Bao, Demangan Baru;Eatlah General
{'average': 4.7, 'total': 0};Es Teler INYONK;Es Teler INYONK, ENDANG SUSILOWATI
{'average': 4.7, 'total': 0};Jatinangor House, Kaliurang Sleman;Jatinangor House
{'average': 4.7, 'total': 0};Rocket Chicken, Kadipiro;Rocket Chicken General
{'average': 4.8, 'total': 0};Mie Ayam Bandung 59, Beskalan;Mie Bandung 59
{'average': 4.7, 'total': 0};Kedai Lombok Bunda, Singosaren;Kedai Lombok Bunda
{'average': 4.6, 'total': 0};Soto Kadipiro Baru 2, Wates;Soto Kadipiro Baru
{'average': 4.7, 'total': 0};Blengerr, Hayam Wuruk;Blengerr
{'average': 4.5, 'total': 0};Gudeg Yu Djum, Kadipiro;Gudeg Yu Djum, Kaliurang
{'average': 4.8, 'total': 0};Luwe Ricebowl, Ngaglik;Luwe Ricebowl, Steven Mario Handoko
{'average': 4.6, 'total': 0};Mixue Bhayangkara, Ngampilan;Mixue Bhayangkara, Ngampilan, CV Seiya Serasa
{'average': 4.7, 'total': 0};Nasi Goreng Candela, Jalan Kaliurang;Kedai Candela
{'average': 4.8, 'total': 0};Waroeng Steak and Shake, Jalan Wates;Waroeng Steak and Shake
{'average': 4.6, 'total': 0};Bubur Ayam Mbs, Kec Depok Kab Sleman;Warmindo Raja Rasa27, Dede Sulaeman
{'average': 4.6, 'total': 0};Masakan Padang Chaniago, Selatan UPN;Masakan Padang Chaniago
{'average': 4.6, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Ngampilan;Salad Moi
{'average': 4.7, 'total': 0};Hola Jus (#1 Healthy Juice & Smoothies), Ngampilan;Hola Jus
{'average': 4.7, 'total': 0};Spesial Sambal Mentah Bu Saring, Hayam Wuruk;Spesial Sambal Mentah Bu Saring
{'average': 4.6, 'total': 0};Lumpia Samijaya Malioboro, Mataram;Lumpia Samijaya Cabang Malioboro
{'average': 4.5, 'total': 0};Nasi Kuning Dan Nasi Uduk Dapoer Mak Lie, Wahid Hasyim;Nasi Kuning Dapoer Mak Lie
{'average': 4.7, 'total': 0};Lesehan Mas Ndut, Depok;Lesehan Mas Ndut
{'average': 4.7, 'total': 0};Pot & Pan Food, Perkutut;POT&PAN FOOD, Irliana Wulandari
{'average': 4.6, 'total': 0};CHICKATS;CHICKATS, Ibnu Abi Aufa
{'average': 4.6, 'total': 0};Menantea, Demangan Baru Yogyakarta;Menantea
{'average': 4.8, 'total': 0};LESEHAN Mas Bhe;LESEHAN Mas Bhe, Desi rahmawati
{'average': 4.6, 'total': 0};Mie Jakarta, Seafood Dan Chinese Food Tegal Manding, Ngaglik;Mie Jakarta, Seafood Dan Chinese Food Tegal Manding
{'average': 4.5, 'total': 0};Roti Bakar dan Kukus Pandawa 5, Bhayangkara;Roti Bakar Dan Roti Kukus Pandawa 5, Glagahsari
{'average': 4.6, 'total': 0};Rocket Chicken, Patukan Ambarketawang;Rumah Makan Rocket Chicken, Andri Herbowo
{'average': 4.7, 'total': 0};PREKSU (Ayam Geprek & Susu), Condongcatur;Preksu (Ayam Geprek dan Susu)
{'average': 4.3, 'total': 0};RM Padang Duta Sederhana;RM Padang Duta Sederhana, MULYANTO
{'average': 4.8, 'total': 0};Kopi Kenangan, Ramai Malioboro;Kopi Kenangan
{'average': 4.8, 'total': 0};Sambel Colek, Jakal KM 14;Sambel Colek
{'average': 4.7, 'total': 0};Chatime x Cupbop, Ramai Mall Malioboro;Chatime
{'average': 4.6, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Condong Catur;Salad Moi
{'average': 4.8, 'total': 0};Hola Jus (#1 Healthy Juice & Smoothies), Selokan Mataram;Hola Jus
{'average': 4.7, 'total': 0};Nasi Telur Bahagia, Mancasan Indah;Nasi Telur Bahagia, AHMAD MAFTUH IHSAN
{'average': 4.8, 'total': 0};Bobob Chicken Rice Box, Ngringin;Bobob Chicken Rice Box, Patricia Camila
{'average': 4.7, 'total': 0};Pempek Ny. Kamto, Beskalan;Pempek Ny. Kamto
{'average': 4.2, 'total': 0};Bakpia Kukus Tugu Jogja, Demangan Baru;Uno Krupskaya, Giwangan
{'average': 4.6, 'total': 0};Mixue Lempuyangan, Danurejan/Bausasran/ruko;Mixue Lempuyangan, Danurejan/Bausasran/ruko, Kelik Tananto
{'average': 4.7, 'total': 0};Rumah Makan & Seafood 99 Condongsari, Condongcatur, Depok, Sleman;Rumah Makan & Seafood 99 Migrate
{'average': 4.1, 'total': 0};MITRA - Bakpia Pathok 25, Outlet JRAY, Jl Demangan Baru;Bakpia Pathok 25, Demangan, Jl Demangan Baru No 50, Tunsiyanah
{'average': 4.7, 'total': 0};Penyetan Mas Kobis, Nologaten;Penyetan Mas Kobis - Yogyakarta
{'average': 4.7, 'total': 0};Jank Jank Wings, Jakal KM 14;Jank Jank Wings General
{'average': 4.7, 'total': 0};Burjo Motekar 18, Ringin Raya;Burjo Motekar
{'average': 4.8, 'total': 0};Morgans Kebab Jakal, Tegal Manding,Jl. Kaliurang;MORGANS KEBAB, SETURAN, MUH. DAROJATUN KUNCORO SAKTI
{'average': 4.7, 'total': 0};Lotek GAdo-Gado Bu Irah, Perum Kanisius;Lotek GAdo-Gado Bu Irah
{'average': 4.5, 'total': 0};Pecel Lele Lamongan Pak Har, Condong Catur;Penyetan Mas Har
{'average': 4.5, 'total': 0};Lesehan Mas Har Condong Catur, Ringin Raya;Penyetan Dan Bakar Mas Har
{'average': 4.7, 'total': 0};Penyetan Mas Har, Condong Catur;Penyetan Mas Har 2
{'average': 4.5, 'total': 0};Padang Murah Gamping, Wates KM 5;Padang Murah Gamping, Jl Wates Km 5. Sleman, Muh Amiruddin
{'average': 4.7, 'total': 0};BOBAHO, Condongcatur;Bobaho Condongcatur, Rissa Suseno Putri
{'average': 4.8, 'total': 0};Chicken Crush, Kaliurang;Chicken Crush Yogyakarta
{'average': 4.6, 'total': 0};Ombein Jakal, Tj Manding;Ombein Soropadan
{'average': 4.6, 'total': 0};Sate Klathak dan Bakmi Jowo Pak Jede, Nologaten;Sate Klatak Pak Jede
{'average': 4.6, 'total': 0};Nasgor 212, Selokan Mataram;Nasgor 212
{'average': 4.7, 'total': 0};Haus!, Yogya Jakal UII;HAUS! GENERAL
{'average': 4.7, 'total': 0};Kopi Kenangan, Lippo Plaza Jogja;Kopi Kenangan
{'average': 4.6, 'total': 0};KFC Box, Lippo Plaza;KFC Box
{'average': 4.7, 'total': 0};Rumah Makan 99 Seafood UII;Rumah Makan 99 Seafood UII, Eko Teguh Kurniawan
{'average': 4.7, 'total': 0};Waroeng Steak and Shake, Kaliurang;Waroeng Steak and Shake
{'average': 4.8, 'total': 0};Burjo Motekar 13, Kaliurang;Burjo Motekar
{'average': 4.6, 'total': 0};Rumah Makan Padang Family, Perumnas Seturan;Rumah Makan Padang Family
{'average': 4.7, 'total': 0};Karen Chicken by Olive, Gamping;Karen Chicken
{'average': 4.7, 'total': 0};Ayam Geprek SH, Umbulmartani;Ayam Geprek Bu Rini 4 Berbah
{'average': 4.7, 'total': 0};Olive Fried Chicken Take Away, Bhayangkara;Olive Fried Chicken
{'average': 4.7, 'total': 0};East Pork - #1 Sei Babi Kupang In Jogja, Ampel;East Pork - Sei Babi Khas Kupang Timor
{'average': 4.8, 'total': 0};Semuda Kopi, Utara stadion Maguwoharjo;Semuda Coffee, INDRA SUKMANA, SH, M.Kn.
{'average': 4.7, 'total': 0};RM & Sate Padang Andalas, UII Kaliurang Km. 14,4;Sate Padang Andalas
{'average': 4.8, 'total': 0};Burjo Pamungkas, Degolan;Burjo Pamungkas, Degolan
{'average': 4.5, 'total': 0};Seblak Bloom, Prawirokuat;Seblak Bloom UNY
{'average': 4.7, 'total': 0};Warmindo Rikat, Sunan Kudus;Warmindo RIKAT
{'average': 4.8, 'total': 0};Chicken Crush, Nologaten;Chicken Crush Yogyakarta
{'average': 4.7, 'total': 0};Dingo Coffee - UII, Jalan Kaliurang KM 14,5;Dingo Coffee, Firsta Muhammad Fauzi Rahman
{'average': 4.7, 'total': 0};Pulung Steak & Nasgor, Ngestiharjo, Kasihan, Bantul;Pulung Steak & Rib's
{'average': 4.6, 'total': 0};Rocket Chicken, Nologaten;Rocket Chicken - Rosa Delima Evy Ongko
{'average': 4.7, 'total': 0};Ayam Geprek Hamdallah,Jalan Kaliurang Km 14,5;Ayam Geprek Hamdallah,Jalan Kaliurang Km 14,5, Ari SUPRIYANTI
{'average': 4.7, 'total': 0};Jatinangor House, Seturan2;Jatinangor House
{'average': 4.8, 'total': 0};Roti Sisir Jogja, Ahmad Dahlan;Roti Sisir Jogja, Ahmad Dahlan
{'average': 4.7, 'total': 0};Salad Nyoo (Pelopor #1 Salad Buah Indonesia), Umbulmartani;Salad Nyoo
{'average': 4.8, 'total': 0};Couvee x Hungry Ed, Ahmad Dahlan;Couvee
{'average': 4.8, 'total': 0};Rocket Chicken Gedongan, Moyudan;Rocket Chicken Gedongan
{'average': 4.9, 'total': 0};Ada Food & Juice, Malangrejo;Ada Food & Juice
{'average': 4.7, 'total': 0};Burger Bangor Express, Jakal UII Atas;Burger Bangor General
{'average': 4.7, 'total': 0};Seblak Bloom, UII Kaliurang;Seblak Bloom UNY
