ratings;displayName;brand.displayName
{'average': 4.7, 'total': 0};PREKSU (Ayam Geprek & Susu), Pandega;Preksu (Ayam Geprek dan Susu)
{'average': 4.7, 'total': 0};MANDJA seafood;MANDJA seafood, Imam Widayat
{'average': 4.6, 'total': 0};HellO Seblak, Pandega;HellO Seblak, Alkid, Yohanes Ferry Ardianto
{'average': 4.5, 'total': 0};Pecel Lele dan Ayam Kremes Bu Darmi, Mlati;Pecel Lele Dan Ayam Kremes Bu Darmi, Mlati, Sudarmi
{'average': 4.7, 'total': 0};Morgans Kebab, Pandega;MORGANS KEBAB, SETURAN, MUH. DAROJATUN KUNCORO SAKTI
{'average': 4.8, 'total': 0};Sebelas Coffee, Monjali;Sebelas Coffee Crafter
{'average': 4.7, 'total': 0};Mixue, Jambon;Mixue Maranatha Surya Sumantri
{'average': 4.8, 'total': 0};Waroeng Spesial Sambal SS, Pandega Martha;Waroeng Spesial Sambal (SS)
{'average': 4.5, 'total': 0};Ayam Goreng Hj Toyib, Pandegamarta;Ayam Goreng Hj Toyib
{'average': 4.7, 'total': 0};Ayam Nusantara;Ayam Nusantara, Agus Sujarwono
{'average': 4.7, 'total': 0};Jatinangor House, Sinduharjo;Jatinangor House
{'average': 4.6, 'total': 0};Pecel Lele dan Nasi Uduk Cak Doel, Banteng Raya;Pecel Lele Dan Nasi Uduk Cak Doel, Jl. Banteng Raya, Ridlwan
{'average': 4.8, 'total': 0};Bakmi dan Seafood 99, Pandega Marta;Bakmi dan Seafood 99 Yogyakarta
{'average': 4.8, 'total': 0};Krisbar Susi Krispi Bakar dan Susu Sirup, Pandega Martha;Krisbar Susi Krispi Bakar dan Susu Sirup
{'average': 4.1, 'total': 0};Korean Express, Godean;Korean Express
{'average': 4.5, 'total': 0};Geprek Mr.NICO;Geprek Mr.NICO, EKO PURWANTO
{'average': 4.4, 'total': 0};Cilaja Fried Chicken;Cilaja Fried Chicken, Rohmat
{'average': 4.5, 'total': 0};Lotek & Gado - Gado Bu Nur, Jambon;Lotek & Gado-Gado Bu Nur
{'average': 4.8, 'total': 0};Masakan Padang Duta Minang, Jl. Magelang;Duta Minang YK
{'average': 4.3, 'total': 0};Kulit Enak, Mlati;Kulit Enak, Selokan Mataram, Rohmat
{'average': 4.7, 'total': 0};Ayam Geprek Hara Chicken, Jalan Damai;Hara Chicken - Muhammad Arofik
{'average': 4.6, 'total': 0};Nasi Goreng Seafood 23, Pandega Marta;Nasi Goreng Seofood 23, Dian Deriani
{'average': 4.7, 'total': 0};Sate Taichan Kuy;Sate Taichan Kuy, Maria Wulan Intandari
{'average': 4.7, 'total': 0};Lotek Pandega Putri, Depok;Lotek Pandega Putri
{'average': 4.7, 'total': 0};Soto & Sop Pak Nanto 2;Soto & Sop Pak Nanto
{'average': 4.7, 'total': 0};Jatinangor House, Pogung Baru;Jatinangor House
{'average': 4.7, 'total': 0};Penyetan Kang Joni, Pogung Kidul;Penyetan Kang Joni, Pogung Kidul
{'average': 4.7, 'total': 0};"Ayam Bakar ""Mbak Tini"" Special CRISBAR, Pogung Dalangan";Ayam Bakar Mbak Tini
{'average': 4.6, 'total': 0};Martabak Pecenongan 78, Jl. Magelang km 3,5;Martabak Pecenongan 78
{'average': 4.4, 'total': 0};Warmindo Rejeki Sagara;Warmindo Rejeki Sagara, Yosi Rosita Dewi
{'average': 4.7, 'total': 0};Jank Jank Wings, Terban;Jank Jank Wings
{'average': 4.8, 'total': 0};Putra Kandung, Pogung;Putra Kandung
{'average': 4.7, 'total': 0};Ayam Kremes Tulang Lunak, Pogung;Ayam Kremes Tulang Lunak - Sukarno
{'average': 4.3, 'total': 0};Seblak Sunda Teh Linda, Kost Kolombo;Seblak Sunda Teh Linda dan Juice, Wakijem
{'average': 4.7, 'total': 0};Olive Fried Chicken, Kabupaten;Olive Fried Chicken
{'average': 4.6, 'total': 0};Nasi Goreng Surabaya (Warmindo Makcik), Pogung Kidul;Warmindo MakCik, Umayah
{'average': 4.7, 'total': 0};Mixue Monjali, Sleman;Mixue Monjali, Sleman, Yonatan Abisai Yabin
{'average': 4.8, 'total': 0};Ayam Goreng Rempah, Ceker Balado Nonalisa Chicken, Godean;Ayam Goreng Rempah, Ceker Balado Nonalisa Chicken, Godean, Dr. Dewi Sri Budiarti Setyaningsih
{'average': 4.7, 'total': 0};Ayam Geprek Eldaffa, pogung;Penyetan Dan Ayam Geprek Eldaffa, pogung, Dewi Pramitha
{'average': 4.7, 'total': 0};Tahu Walik Ayu Pandega, Dipingir Ring Road;Tahu Walik Qita Sewon, Eko Triyono
{'average': 4.7, 'total': 0};Ayam Geprek Sambel Ijo, Ngaglik;Ayam Geprek Sambel Ijo, Ngaglik, Khairul Anwar
{'average': 4.7, 'total': 0};Sate Ayam Ponorogo Saporo, Pandega Marta;Sate Saporo
{'average': 4.7, 'total': 0};Rocket Chicken, Bantulan Godean;Rocket Chicken General
{'average': 4.7, 'total': 0};Tahu Walik Qita Pandega, Pingir Ringroad;Tahu Walik Qita Jl Paris, Eko Triyono
{'average': 4.7, 'total': 0};Padang & Geprek Munggur, Godean KM 7.5;Padang Munggur
{'average': 4.7, 'total': 0};Mixue Sidoarum, Godean, Sidoarum;Mixue Sidoarum, Godean, Sidoarum, Fransiscus Xaverius Hengky Wijaya
{'average': 4.7, 'total': 0};Chicken Crush, Sidoarum;Chicken Crush Yogyakarta
{'average': 4.8, 'total': 0};Kopi Kenangan, Ruko Kaliurang Yogyakarta;Kopi Kenangan
{'average': 4.7, 'total': 0};Olive Fried Chicken, Bantulan;Olive Fried Chicken
{'average': 4.7, 'total': 0};Waroeng Spesial Sambal SS, Monjali;Waroeng Spesial Sambal (SS)
{'average': 4.2, 'total': 0};Rumah Makan Padang Bungopalo, Kentungan;Rumah Makan Padang BungoPalo
{'average': 4.7, 'total': 0};Seblak Pasta Monjali, Blunyah Gede;Seblak Pasta
{'average': 4.6, 'total': 0};Warteg 24, Jakal KM 6,5;Warteg 24, Jakal KM 6,5
{'average': 4.8, 'total': 0};Sejati Bakmi & Bubur, Jakal KM 7;Mie Sejati, Jakal KM 7
{'average': 4.7, 'total': 0};Depot Ayam Geprek Omjins, Depok;Depot Ayam Geprek Omjins
{'average': 4.6, 'total': 0};RM Padang Murah Colombo, Depok;Padang Murah
{'average': 4.8, 'total': 0};KFC, Kaliurang;KFC
{'average': 4.8, 'total': 0};Soto Betawi Hj. Inten, Kentungan;Soto Betawi Hj. Inten
{'average': 4.7, 'total': 0};Panties Pizza, Jalan Kaliurang;Panties Pizza Yogyakarta
{'average': 4.7, 'total': 0};Warung Soto Ayam Pak Jamal;Warung Soto Ayam Pak Jamal
{'average': 4.8, 'total': 0};Ayam Goreng Nelongso Yogyakarta, Kaliurang Km. 6,5;Ayam Goreng Nelongso
{'average': 4.1, 'total': 0};Kebab Keraton, Mlati;Pecel Lele Mas Agus Sragen
{'average': 4.7, 'total': 0};Mixue, Jakal Bawah;Mixue Maranatha Surya Sumantri
{'average': 4.5, 'total': 0};Rumah Makan Padang Citarasa, Kaliurang;Rumah Makan Padang Citarasa, Sucilia Prasasti
{'average': 4.4, 'total': 0};Kebab Turki Baba Rafi, SPBU Godean Km 7,8;Kebab Turki Baba Rafi General Baru
{'average': 4.5, 'total': 0};Bakso Lombok Uleg Pak Di, Kaliurang Km. 6,2;Bakso Lombok Uleg Pak Di, Kaliurang Km. 6,2
{'average': 4.8, 'total': 0};Olive Fried Chicken, Kentungan;Olive Fried Chicken
{'average': 4.8, 'total': 0};Soto Ayam KakiJangi, Jalan Damai;Soto Ayam Kaki Jangi
{'average': 4.8, 'total': 0};Sop Buntut Bu Menuk, Kaliurang KM 7.8;Sop Buntut Bu Menuk
{'average': 4.7, 'total': 0};Yamie Panda, Monjali;Yamie Panda Migrate
{'average': 4.7, 'total': 0};Amanda Brownies, Kaliurang;Amanda Brownies General
{'average': 4.6, 'total': 0};Lotek & Gado-Gado Uswatun, Jakal;Lotek & Gado-Gado Uswatun
{'average': 4.8, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Godean;Salad Moi
{'average': 4.7, 'total': 0};Soto Segeer Hj Fatimah Boyolali, Kaliurang;Soto Segeer Hj. Fatimah Boyolali
{'average': 4.7, 'total': 0};Padang Murah Kenthungan;Padang Murah Kenthungan, Lusi Wijayanti
{'average': 4.7, 'total': 0};Warung Sate Kambing Muda, Kaliurang;Warung Sate Kambing Muda, Kaliurang
{'average': 4.8, 'total': 0};Ayam Geprek Hara Chicken, Godean;Hara Chicken - Muhammad Arofik
{'average': 4.8, 'total': 0};Soto Dan Sop Iga Pak Shalim;Soto Dan Sop Iga Pak Shalim, Muhammad nur khamim
{'average': 4.5, 'total': 0};Bubur Ayam Jakarta &Bubur Kacang Ijo Mlati, Jln Pogung Kidul ,Sinduadi;Bubur Ayam Jakarta &Bubur Kacang Ijo Mlati, Jln Pogung Kidul ,Sinduadi, Milasari
{'average': 4.8, 'total': 0};Gudeg Rizky 2;Gudeg Rizky 2, Arief Yusnida
{'average': 4.7, 'total': 0};Martabak Pecenongan 78, Jakal;Martabak Pecenongan 78
{'average': 4.8, 'total': 0};Esteh Indonesia, Jogja Godean;Es Teh Indonesia General
{'average': 4.7, 'total': 0};KABOBS – Premium Kebab, Kitchen Yogyakarta (Jakal No.15);Kabobs - Premium Kebab
{'average': 4.8, 'total': 0};Bakso Balungan Pak Granat, Sinduharjo;Bakso Balungan Pak Granat
{'average': 4.8, 'total': 0};Pizza Hut, Kaliurang;Pizza Hut
{'average': 4.6, 'total': 0};Nasi Pecel Bu Dwi Asli Madiun, Jakal;Nasi Pecel Bu Dwi Asli Madiun
{'average': 4.8, 'total': 0};Ayam Penyet Surabaya, Kaliurang;Ayam Penyet Surabaya General
{'average': 4.7, 'total': 0};Hola Jus (#1 Healthy Juice & Smoothies), Kaliurang;Hola Jus
{'average': 4.6, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Jakal;Salad Moi
{'average': 4.8, 'total': 0};Emados Shawarma, Kaliurang;Emados
{'average': 4.7, 'total': 0};Warung Makan Sari Eco, Monjali;Warung Makan Sari Eco, Monjali, Sri Wahyuni Sulistyowati
{'average': 4.7, 'total': 0};Tanoshii Sushi, Damai;Tanoshi Sushi
{'average': 4.7, 'total': 0};Belikopi, Kaliurang;Belikopi. Gresik, Fariz Julinar Maurisal SE
{'average': 4.7, 'total': 0};Sate Padang Asli, Kaliurang;Sate Padang Asli Senovantoni
{'average': 4.3, 'total': 0};Siomay & Batagor Kang Gii Asli Bandung, Ngaglik;Siomay & Batagor Kang Gii Asli Bandung
{'average': 4.8, 'total': 0};HokBen, Kaliurang;HokBen
{'average': 4.7, 'total': 0};Warteg 25 Jam, Pandega;Roti Bakar Emak, Pandega
{'average': 4.8, 'total': 0};Sederhana SA, Yogyakarta;Sederhana SA - Fachrizal Alief
